id	ID
inoffizielleKantonshymne	Inoffizielle Kantonshymne
herkunft	Herkunft
bestandteile	Bestandteile
viskosität	Viskosität
heizwert	Heizwert
brennwert	Brennwert
oktanzahl	Oktanzahl
kohlendioxidemissionen	Kohlendioxidemissionen
schmelzbereich	Schmelzbereich
siedebereich	Siedebereich
flammpunkt	Flammpunkt
zündtemperatur	Zündtemperatur
explosionsgrenze	Explosionsgrenze
temperaturklasse	Temperaturklasse
explosionsklasse	Explosionsklasse
unNummer	UN-Nummer
gefahrnummer	Gefahrnummer
nr	NR
bereich	Bereich
regel	Regel
beschreib	Beschreib
keintext	Kein Text
wayback	Wayback
minderheitensprache	Minderheitensprache
remark	Remark
überschrift	Überschrift
tag	Tag
vorläufigeChartplatzierung	Vorläufige Chartplatzierung
plzAlt	PLZ-Alt
map	Map
nameaufspanisch	Name Auf Spanisch
nameinregionalsprache	Name In Regionalsprache
nameaufdeutsch	Name Auf Deutsch
flaggenartikel	Flaggenartikel
wappenartikel	Wappenartikel
kartelageinspanien	Karte Lage In Spanien
verwaltungssitz	Verwaltungssitz
einwstand	Einw Stand
nordSüdcirca	Nord-Süd Circa
westOstcirca	West-Ost Circa
amtssprachenausserspanisch	Amtssprachen Ausser Spanisch
autonomieseit	Autonomie Seit
abkz	Abkz
sitzekongress	Sitze Kongress
sitzesenat	Sitze Senat
kartelokal	Karte Lokal
besondereKennzeichen	Besondere Kennzeichen
landkreis	Landkreis
guv	GUV
jahralt	Jahralt
jahrneu	Jahrneu
ergebnis	Ergebnis
ergebnisalt	Ergebnisalt
sil	SIL
wvers	Wvers
komitat	Komitat
kartex	Karte X
kartey	Karte Y
kartedir	Karte Dir
sternbild	Sternbild
rek	Rek
dek	Dek
winkel	Winkel
caption	Caption
objekt	Objekt
visuell	Visuell
gr	Gr
spektralklasse	Spektralklasse
bVIndex	B-V-Index
uBIndex	U-B-Index
variabel	Variabel
absolutVis	Absolut-Vis
vRa	V-RA
vDe	V-DE
masse	Masse
radius	Radius
leuchtkraft	Leuchtkraft
temperatur	Temperatur
rotation	Rotation
alter	Alter
bayer	Bayer
flamsteed	Flamsteed
bd	BD
hr	HR
hd	HD
sao	SAO
tyc	TYC
hip	HIP
weitere	Weitere
namearabisch	Name Arabisch
gouvernement	Gouvernement
staat	Staat
behördenAbkürzung	Behörden abkürzung
keineBehörde	Keine behörde
nomecomune	Nome Comune
regione	Regione
provincia	Provincia
linkstemma	Link Stemma
siglaregione	Sigla Regione
siglaprovincia	Sigla Provincia
lokalebezeichnung	Lokale Bezeichnung
lokalerdialekt	Lokaler Dialekt
latitudinegradi	Latitudine Gradi
latitudineminuti	Latitudine Minuti
latitudinesecondi	Latitudine Secondi
longitudinegradi	Longitudine Gradi
longitudineminuti	Longitudine Minuti
longitudinesecondi	Longitudine Secondi
mappax	Mappa X
mappay	Mappa Y
altitudine	Altitudine
superficie	Superficie
cap	Cap
prefisso	Prefisso
istat	Istat
fiscale	Fiscale
nomeabitanti	Nome Abitanti
patrono	Patrono
festivo	Festivo
sito	Sito
seealso	See Also
taxon2Autor	Taxon2 Autor
03Code	03-Code
03Bezeichnung	03-Bezeichnung
04Code	04-Code
04Bezeichnung	04-Bezeichnung
05Code	05-Code
05Bezeichnung	05-Bezeichnung
08Code	08-Code
08Bezeichnung	08-Bezeichnung
09Code	09-Code
09Bezeichnung	09-Bezeichnung
10Code	10-Code
10Bezeichnung	10-Bezeichnung
diff	Diff
prozent	Prozent
sperrklausel	Sperrklausel
flusssystem	Flusssystem
abflussweg	Abflussweg
bezeichnungMündung	Bezeichnung-MÜndung
mündung	MÜndung
mündungLatGrad	MÜndung lat grad
mündungLongGrad	MÜndung long grad
mündungRegion	MÜndung region
parteilogo	Parteilogo
parteivorsitzender	Parteivorsitzender
generalsekretär	Generalsekretär
stellvertretendeVorsitzende	Stellvertretende Vorsitzende
landesgeschäftsführer	Landesgeschäftsführer
landesschatzmeister	Landesschatzmeister
ehrenvorsitzende	Ehrenvorsitzende
gründungsort	Gründungsort
bundestagsmandate	Bundestagsmandate
zuschüsse	Zuschüsse
mindestalter	Mindestalter
farben	Farben
europa	Europa
webseite	Webseite
erfinder	Erfinder
goh	Goh
de	De
kurz	Kurz
isotope	Isotope
s	S
halb	Halb
bildtext	Bildtext
zentrum	Zentrum
halbachse	Halbachse
periapsis	Periapsis
apoapsis	Apoapsis
exzentrizitaet	Exzentrizitaet
bahnneigung	Bahnneigung
umlaufzeit	Umlaufzeit
umlaufgeschwindigkeit	Umlaufgeschwindigkeit
albedo	Albedo
durchmesser	Durchmesser
oberflaeche	Oberflaeche
achsneigung	Achsneigung
aFallen	A Fallen
vFlucht	V Flucht
visuelleHelligkeit	Visuelle Helligkeit
entdecker	Entdecker
entdeckungsdatum	Entdeckungsdatum
vergleichbild	Vergleichbild
vergleichtext	Vergleichtext
dateiendung	Dateiendung
mime	Mime
standard	Standard
foto	Foto
fotoBreite	Foto breite
kapazität	Kapazität
lebensdauer	Lebensdauer
vorstellung	Vorstellung
entwicklungsland	Entwicklungsland
erstflug	Erstflug
indienststellung	Indienststellung
produktionszeitraum	Produktionszeitraum
stückzahl	Stückzahl
iso2b	ISO2B
iso2t	ISO2T
seelaenge	Seelaenge
seebreite	Seebreite
umfang	Umfang
technik	Technik
musik	Musik
takt	Takt
tempo	Tempo
entstehungszeit	Entstehungszeit
kürzel	Kürzel
englisch	Englisch
französisch	Französisch
logotext	Logotext
gliedzahl	Gliedzahl
sprachen	Sprachen
anmerkungen	Anmerkungen
veröffentlichung	Veröffentlichung
preis	Preis
einstellung	Einstellung
cpu	CPU
ram	RAM
grafik	Grafik
sound	Sound
datenträger	Datenträger
dnb	DNB
ia	IA
lt	LT
lesegeschwindigkeit	Lesegeschwindigkeit
schreibgeschwindigkeit	Schreibgeschwindigkeit
gebrauch	Gebrauch
markteinführung	Markteinführung
ot	OT
pl	PL
pj	PJ
len	LEN
os	OS
reg	REG
drb	DRB
pro	PRO
kamera	Kamera
schnitt	Schnitt
ds	DS
dt	DT
fsk	FSK
deutscherBankname	Deutscher bankname
zentralbankFuer	Zentralbank fuer
waehrung	Waehrung
waehrungIso	Waehrung iso
waehrungsreserven	Waehrungsreserven
drucker	Drucker
muenzpraegeanstalt	Muenzpraegeanstalt
vorgaenger	Vorgaenger
nonProfitType	Non-Profit type
numVolunteers	Num volunteers
numEmployees	Num employees
elevation	Elevation
wappenbild	Wappenbild
installationsmedium	Installationsmedium
bildunterschrift	Bildunterschrift
designer	Designer
originalverlag	Originalverlag
originalveröffentlichung	Originalveröffentlichung
deutscherVerlag	Deutscher Verlag
deutscheVeröffentlichung	Deutsche Veröffentlichung
spielwelt	Spielwelt
aufstieg	Aufstieg
würfel	Würfel
mus	Mus
lib	Lib
ua	UA
uaort	UAort
ortzeit	Ort Zeit
pers	Pers
cname	Cname
bilddatei	Bilddatei
museum	Museum
wnews	Wnews
verband	Verband
vereine	Vereine
unterteilung	Unterteilung
abkuerzung	Abkuerzung
kurs	Kurs
datumKurs	Datum kurs
gkz	GKZ
einzugsgebiet	Einzugsgebiet
abflussMq	Abfluss-Mq
quellhöhe	QuellhÖhe
quellhöheSuffix	QuellhÖhe-Suffix
mündungshöhe	MÜndungshÖhe
linkeNebenflüsse	Linke nebenflÜsse
rechteNebenflüsse	Rechte nebenflÜsse
stauseen	Stauseen
grossstädte	GrossstÄdte
schiffbar	Schiffbar
nachweise	Nachweise
erstausgabeTag	Erstausgabe tag
erstausgabeJahr	Erstausgabe jahr
erscheint	Erscheint
auflageQuelle	Auflage quelle
reichweiteZahl	Reichweite zahl
chefred	Chefred
weblink	Weblink
archiv	Archiv
coden	Coden
reihe	Reihe
zwillingsbildung	Zwillingsbildung
optischerAchsenwinkel	Optischer Achsenwinkel
pleochroismus	Pleochroismus
phasenübergang	Phasenübergang
architekt	Architekt
eröffnung	Eröffnung
besucheranzahl	Besucheranzahl
isil	Isil
kapitel	Kapitel
schlüssel	Schlüssel
year	Year
scientificname	Scientific Name
yearassessed	Year Assessed
assessor	Assessor
download	Download
quellhöhePrefix	QuellhÖhe-Prefix
höhenbezugQuelle	HÖhenbezug-Quelle
quelleLatGrad	Quelle lat grad
quelleLongGrad	Quelle long grad
quelleRegion	Quelle region
höhenbezugMündung	HÖhenbezug-MÜndung
mittelstädte	MittelstÄdte
karteBeschreibung	Karte-Beschreibung
veröffentlichungsjahr	Veröffentlichungsjahr
wsrce	Wsrce
ladungE	Ladung e
ladungC	Ladung c
masseU	Masse u
masseKg	Masse kg
masseMe	Masse me
masseMev	Masse mev
comptonWellenlaengeM	Compton wellenlaenge m
magnetischesMomentJt	Magnetisches moment jt
gFaktor	G faktor
gyromagnetischesVerhaeltnisSt	Gyromagnetisches verhaeltnis st
spinzahl	Spinzahl
wechselwirkung	Wechselwirkung
siDimension	SI-Dimension
cgs	Cgs
cgsDimension	Cgs-Dimension
sieheauch	Siehe auch
bildPixel	Bildpixel
ortsflagge	Ortsflagge
ortsflaggeRahmen	Ortsflagge Rahmen
ortswappen	Ortswappen
karteDesOrtes	Karte des Ortes
sitzDesOrtes	Sitz des Ortes
wasserfläche	Wasserfläche
cbsCode	CBS-Code
titelP	Titel-P
aDatum	A-Datum
regierungsform	Regierungsform
großeHalbachse	Große Halbachse
perihel	Perihel
aphel	Aphel
exzentrizität	Exzentrizität
umlaufdauer	Umlaufdauer
äquatordurchmesser	Äquatordurchmesser
poldurchmesser	Poldurchmesser
fallbeschleunigung	Fallbeschleunigung
fluchtgeschwindigkeit	Fluchtgeschwindigkeit
rotationsperiode	Rotationsperiode
achsenneigung	Achsenneigung
druck	Druck
atmosphärenhauptbestandteile	Atmosphärenhauptbestandteile
monde	Monde
scheinbarerDurchmesser	Scheinbarer Durchmesser
regierungssitz	Regierungssitz
ofzName	Ofz name
lagepunkt	Lagepunkt
verw	Verw
