quasiris_id	topic	nr_in_context	name
fussballde51	Fussball	51	SG 99 Andernach
fussballde511	Autor	511	Roman
fussballde513	Fussball	513	Benedikt Höwedes
fussballde515	Fussball	515	Johannes Flum
fussballde517	Fussball	517	Sebastian Rode
fussballde519	Fussball	519	Fußballspiel
fussballde521	Fussball	521	Joel Matip
fussballde523	Fussball	523	Höwedes
fussballde525	Event	525	Weihnachten
fussballde527	Person	527	Heribert Bruchhagen
fussballde529	News	529	Explosion
fussballde53	Fussball	53	DFB
fussballde531	Fussball	531	BU
fussballde533	Stadt	533	Schmalkalden
fussballde535	Stadt	535	Siegen
fussballde537	Ort	537	Weimar
fussballde539	Fussball	539	3. Liga
fussballde541	Fussball	541	2. Bundesliga
fussballde543	Politik	543	Bundestag
fussballde545	Politiker	545	Wolfgang Klein
fussballde547	Stadt	547	Staßfurt
fussballde549	News	549	Interview
fussballde55	Fussball	55	Bayer Leverkusen
fussballde551	News	551	Feuer
fussballde553	Fussball	553	Sepp Herberger
fussballde555	Gegenstand	555	Spenden
fussballde557	Gegenstand	557	Gesellschaft
fussballde559	Stadt	559	Mannheim
fussballde561	Fussball	561	BFV
fussballde563	Fussball	563	Sofian Chahed
fussballde565	Fussball	565	Änis Ben-Hatira
fussballde567	Fussball	567	Thorben Marx
fussballde569	Fussball	569	Carsten Ramelow
fussballde57	Fussball	57	FC Nürnberg
fussballde571	Fussball	571	Christian Ziege
fussballde573	Politiker	573	Nico Schulz
fussballde575	Politiker	575	Andreas Schmidt
fussballde577	Fussball	577	Nicklas Bendtner
fussballde579	Stadt	579	Kopenhagen
fussballde581	Fussball	581	Holger Badstuber
fussballde583	Fussball	583	Karl-Heinz Rummenigge
fussballde585	Fussball	585	Diego Contento
fussballde587	Fussball	587	Claudio Pizarro
fussballde589	Fussball	589	Badstuber
fussballde59	Fussball	59	Bundesliga-Spiel
fussballde591	Firma	591	Airbus
fussballde593	Fussball	593	Olympique Marseille
fussballde595	Fussball	595	Pepe
fussballde597	Fussball	597	Pepe Reina
fussballde599	Fussball	599	Sebastian Kehl
fussballde6	Fussball	6	FC Bayern München
fussballde601	Fussball	601	Elfmeter
fussballde603	Fussball	603	Pierre-Emerick Aubameyang
fussballde605	Bundesland	605	Brandenburg
fussballde607	Stadt	607	Kehl
fussballde609	Fussball	609	AC Florenz
fussballde61	Stadt	61	Lonnig
